Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Size(bytes),Throughput(bytes/sec)
"Memcpy HtoD [sync]",3817596359,3518784,,,,,,,,,,8327276,2366520934
"matrixMulKernel(matrix, matrix, matrix)",3821328779,34560145,120,14,1,17,38,1,21,0,0,,
"Memcpy DtoH [sync]",3856474790,1294104,,,,,,,,,,4151404,3207936920
"Memcpy HtoD [sync]",3860126280,527754,,,,,,,,,,2078756,3938873035
"Memcpy HtoD [sync]",3861184699,3356285,,,,,,,,,,8327276,2481099191
"matrixMulKernel(matrix, matrix, matrix)",3864694811,32772081,49,85,1,42,6,1,21,0,0,,
"Memcpy DtoH [sync]",3897523917,1548092,,,,,,,,,,4151404,2681626156
"Memcpy HtoD [sync]",3901193039,697389,,,,,,,,,,2078756,2980769699
"Memcpy HtoD [sync]",3902348164,3633026,,,,,,,,,,8327276,2292104708
"matrixMulKernel(matrix, matrix, matrix)",3906152649,70929763,510,9,1,4,62,1,21,0,0,,
"Memcpy DtoH [sync]",3977122124,1286072,,,,,,,,,,4151404,3227971684
"Memcpy HtoD [sync]",3980737166,736877,,,,,,,,,,2078756,2821035260
"Memcpy HtoD [sync]",3981956068,3940551,,,,,,,,,,8327276,2113226297
"matrixMulKernel(matrix, matrix, matrix)",3986170704,32731344,45,29,1,46,18,1,21,0,0,,
"Memcpy DtoH [sync]",4018949249,1804321,,,,,,,,,,4151404,2300812327
"Memcpy HtoD [sync]",4022803847,650507,,,,,,,,,,2078756,3195593590
"Memcpy HtoD [sync]",4023897274,3573697,,,,,,,,,,8327276,2330157257
"matrixMulKernel(matrix, matrix, matrix)",4027687455,34522288,53,85,1,39,6,1,21,0,0,,
"Memcpy DtoH [sync]",4062254192,1292056,,,,,,,,,,4151404,3213021726
"Memcpy HtoD [sync]",4065163141,512297,,,,,,,,,,2078756,4057716519
"Memcpy HtoD [sync]",4066187383,2571055,,,,,,,,,,8327276,3238855644
"matrixMulKernel(matrix, matrix, matrix)",4069121196,32985717,42,43,1,49,12,1,21,0,0,,
"Memcpy DtoH [sync]",4102336837,1698719,,,,,,,,,,4151404,2443843861
"Memcpy HtoD [sync]",4105915814,678316,,,,,,,,,,2078756,3064583468
"Memcpy HtoD [sync]",4107137212,3536576,,,,,,,,,,8327276,2354615311
"matrixMulKernel(matrix, matrix, matrix)",4110897408,33081654,82,32,1,25,16,1,21,0,0,,
"Memcpy DtoH [sync]",4144178586,1745440,,,,,,,,,,4151404,2378428361
"Memcpy HtoD [sync]",4147861821,539817,,,,,,,,,,2078756,3850853159
"Memcpy HtoD [sync]",4148774989,2549838,,,,,,,,,,8327276,3265805906
"matrixMulKernel(matrix, matrix, matrix)",4151764515,97034011,680,18,1,3,29,1,21,0,0,,
"Memcpy DtoH [sync]",4248918400,1897987,,,,,,,,,,4151404,2187266825
"Memcpy HtoD [sync]",4252674820,677165,,,,,,,,,,2078756,3069792443
"Memcpy HtoD [sync]",4253791929,3430782,,,,,,,,,,8327276,2427223880
"matrixMulKernel(matrix, matrix, matrix)",4257434202,75059822,510,26,1,4,20,1,21,0,0,,
"Memcpy DtoH [sync]",4332828846,1875970,,,,,,,,,,4151404,2212937307
"Memcpy HtoD [sync]",4336830743,758445,,,,,,,,,,2078756,2740813111
"Memcpy HtoD [sync]",4338112718,3401629,,,,,,,,,,8327276,2448025931
"matrixMulKernel(matrix, matrix, matrix)",4341754128,29485749,43,64,1,48,8,1,21,0,0,,
"Memcpy DtoH [sync]",4371285094,1838625,,,,,,,,,,4151404,2257885104
"Memcpy HtoD [sync]",4375008265,649164,,,,,,,,,,2078756,3202204681
"Memcpy HtoD [sync]",4376179742,3658178,,,,,,,,,,8327276,2276345218
"matrixMulKernel(matrix, matrix, matrix)",4380035652,39884721,157,21,1,13,25,1,21,0,0,,
"Memcpy DtoH [sync]",4419968918,1794785,,,,,,,,,,4151404,2313036937
"Memcpy HtoD [sync]",4424247620,672012,,,,,,,,,,2078756,3093331666
"Memcpy HtoD [sync]",4425441273,3474911,,,,,,,,,,8327276,2396399792
"matrixMulKernel(matrix, matrix, matrix)",4429002490,33053173,102,11,1,20,48,1,21,0,0,,
"Memcpy DtoH [sync]",4462167698,1827905,,,,,,,,,,4151404,2271126781
