dimension, 2039, 2039
Result (x y micro-second), 33, 3, 8986
Result (x y micro-second), 44, 5, 8843
Result (x y micro-second), 42, 9, 9114
Result (x y micro-second), 5, 54, 10375
Result (x y micro-second), 19, 48, 9390
Result (x y micro-second), 7, 25, 9751
Result (x y micro-second), 51, 5, 8874
Result (x y micro-second), 20, 45, 9336
Result (x y micro-second), 27, 33, 9306
Result (x y micro-second), 10, 10, 9387
Result (x y micro-second), 19, 52, 9352
Result (x y micro-second), 18, 17, 9107
Result (x y micro-second), 29, 22, 9094
Result (x y micro-second), 7, 17, 9690
Result (x y micro-second), 64, 12, 9062
Result (x y micro-second), 1, 6, 26170
Result (x y micro-second), 10, 62, 9632
Result (x y micro-second), 17, 25, 9381
Result (x y micro-second), 58, 9, 9218
Result (x y micro-second), 42, 20, 9206
Result (x y micro-second), 13, 3, 10466
Result (x y micro-second), 3, 19, 11594
Result (x y micro-second), 20, 44, 9383
Result (x y micro-second), 43, 19, 9220
Result (x y micro-second), 25, 27, 9811
Result (x y micro-second), 29, 34, 9181
Result (x y micro-second), 24, 1, 11327
Result (x y micro-second), 63, 2, 8875
Result (x y micro-second), 25, 16, 9420
Result (x y micro-second), 26, 18, 9130
Result (x y micro-second), 24, 3, 9287
Result (x y micro-second), 37, 1, 10250
Result (x y micro-second), 54, 1, 9564
Result (x y micro-second), 46, 9, 9123
Result (x y micro-second), 28, 5, 8968
Result (x y micro-second), 4, 18, 10462
Result (x y micro-second), 44, 12, 9296
Result (x y micro-second), 62, 4, 8815
Result (x y micro-second), 12, 60, 10136
Result (x y micro-second), 5, 37, 10320
Result (x y micro-second), 11, 30, 9644
