Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Size(bytes),Throughput(bytes/sec)
"Memcpy DtoH [sync]",14023835613,554638,,,,,,,,,,4169764,7517991915
"Memcpy HtoD [sync]",14025205136,523151,,,,,,,,,,4169764,7970478886
"Memcpy HtoD [sync]",14025851547,510767,,,,,,,,,,4169764,8163730233
"matrixMulKernel(matrix, matrix, matrix)",14026395785,138403059,36,31,1,29,34,1,21,0,0,,
"Memcpy DtoH [sync]",14164821180,553294,,,,,,,,,,4169764,7536253781
"Memcpy HtoD [sync]",14166033684,491088,,,,,,,,,,4169764,8490869253
"Memcpy HtoD [sync]",14166631744,498320,,,,,,,,,,4169764,8367643281
"matrixMulKernel(matrix, matrix, matrix)",14167147280,144865536,54,27,1,19,38,1,21,0,0,,
"Memcpy DtoH [sync]",14312037359,549358,,,,,,,,,,4169764,7590248981
"Memcpy HtoD [sync]",14313249095,504016,,,,,,,,,,4169764,8273078632
"Memcpy HtoD [sync]",14313890834,502672,,,,,,,,,,4169764,8295198459
"matrixMulKernel(matrix, matrix, matrix)",14314415681,131980262,38,114,1,27,9,1,21,0,0,,
"Memcpy DtoH [sync]",14446417734,547086,,,,,,,,,,4169764,7621770617
"Memcpy HtoD [sync]",14447610143,487376,,,,,,,,,,4169764,8555538229
"Memcpy HtoD [sync]",14448203340,491600,,,,,,,,,,4169764,8482026037
"matrixMulKernel(matrix, matrix, matrix)",14448710747,153587971,73,40,1,14,26,1,21,0,0,,
"Memcpy DtoH [sync]",14602319965,548846,,,,,,,,,,4169764,7597329669
"Memcpy HtoD [sync]",14603505879,478672,,,,,,,,,,4169764,8711109068
"Memcpy HtoD [sync]",14604087716,479056,,,,,,,,,,4169764,8704126448
"matrixMulKernel(matrix, matrix, matrix)",14604582067,202841945,146,57,1,7,18,1,21,0,0,,
"Memcpy DtoH [sync]",14807446188,545134,,,,,,,,,,4169764,7649062432
"Memcpy HtoD [sync]",14808634373,483056,,,,,,,,,,4169764,8632050942
"Memcpy HtoD [sync]",14809222513,488112,,,,,,,,,,4169764,8542637755
"matrixMulKernel(matrix, matrix, matrix)",14809726209,185755303,114,22,1,9,47,1,21,0,0,,
